Name,Class,Role,Tier,Score,Trend,Win,Role pick rate,Pick,Ban,KDA,Buffed,Nerfed
Ryze ,Mage ,MID ,D ,36.42,9.02,46.06,79.84,1.96,0.13,2.16,0,0
Ryze ,Mage ,TOP ,D ,22.99,1.65,44.52,16.59,0.41,0.14,1.79,0,0
Samira ,Marksman ,ADC ,S ,63.76,-6.67,50.37,96,10.16,19.23,2.31,0,0
Sejuani ,Tank ,JUNGLE ,A ,51.71,10.97,51.28,58.48,1.96,0.44,3.28,0,0
Sejuani ,Tank ,TOP ,B ,46.8,13.76,52.44,33.68,1.12,0.44,2.45,0,0
Senna ,Marksman ,SUPPORT ,God ,83.39,-10.98,51.77,89.21,13.08,20.11,2.69,0,0
Seraphine ,Mage ,MID ,A ,52.78,4.31,52.86,18.06,1.8,1.42,2.98,1,1
Seraphine ,Mage ,SUPPORT ,A ,52.33,2.29,48.79,63.37,6.41,1.42,2.56,1,1
Seraphine ,Mage ,ADC ,C ,39.74,-1.26,52.07,18.15,1.66,1.42,2.89,1,1
Sett ,Fighter ,TOP ,S ,63.15,-10.97,49.3,79.34,6.22,5.03,1.73,0,0
Shaco ,Assassin ,JUNGLE ,B ,46.28,-12.78,47.14,80.04,4.34,12.22,2.79,0,0
Shaco ,Assassin ,SUPPORT ,C ,37.02,-0.94,48.4,13.06,0.8,12.99,2.43,0,0
Shen ,Tank ,TOP ,S ,63.86,-0.3,52.73,87.67,3.64,0.7,3.08,0,0
Shyvana ,Fighter ,JUNGLE ,A ,52.86,-8.28,52.01,84.4,3.08,1.37,2.92,0,0
Shyvana ,Fighter ,TOP ,C ,40.4,4.96,51.75,13.03,0.47,1.41,2.16,0,0
Singed ,Tank ,MID ,S ,55.96,4.92,55.52,37.36,1.45,2.2,2.83,0,1
Singed ,Tank ,TOP ,B ,47.67,-3.93,51.35,52.76,2.18,2.2,2.06,0,1
Sion ,Tank ,TOP ,B ,42.61,-4.79,48.8,76.43,2.74,0.86,1.65,0,0
